#SampleID	Replicate	Age	Diet	Location	Sort	SampleType	Age_Diet	AgeBinary	PCR
1-0C1-fA	R1	Week3	CON	feces	IgAneg	Sorted	Week3CON	Young	Plate1
1-0C1-fAp	R1	Week3	CON	feces	IgApos	Sorted	Week3CON	Young	Plate1
1-0C1-fpr	R1	Week3	CON	feces	Pre	Presort	Week3CON	Young	Plate1
1-0C2-fA	R1	Week3	CON	feces	IgAneg	Sorted	Week3CON	Young	Plate1
1-0C2-fAp	R1	Week3	CON	feces	IgApos	Sorted	Week3CON	Young	Plate1
1-0C2-fpr	R1	Week3	CON	feces	Pre	Presort	Week3CON	Young	Plate1
1-0C3-fA	R1	Week3	CON	feces	IgAneg	Sorted	Week3CON	Young	Plate1
1-0C3-fAp	R1	Week3	CON	feces	IgApos	Sorted	Week3CON	Young	Plate1
1-0C3-fpr	R1	Week3	CON	feces	Pre	Presort	Week3CON	Young	Plate1
1-0C4-fA	R1	Week3	CON	feces	IgAneg	Sorted	Week3CON	Young	Plate1
1-0C4-fAp	R1	Week3	CON	feces	IgApos	Sorted	Week3CON	Young	Plate1
1-0C4-fpr	R1	Week3	CON	feces	Pre	Presort	Week3CON	Young	Plate1
1-0M1-fA	R1	Week3	MAL	feces	IgAneg	Sorted	Week3MAL	Young	Plate1
1-0M1-fAp	R1	Week3	MAL	feces	IgApos	Sorted	Week3MAL	Young	Plate1
1-0M1-fpr	R1	Week3	MAL	feces	Pre	Presort	Week3MAL	Young	Plate1
1-0M2-fA	R1	Week3	MAL	feces	IgAneg	Sorted	Week3MAL	Young	Plate1
1-0M2-fAp	R1	Week3	MAL	feces	IgApos	Sorted	Week3MAL	Young	Plate1
1-0M2-fpr	R1	Week3	MAL	feces	Pre	Presort	Week3MAL	Young	Plate1
1-0M3-fA	R1	Week3	MAL	feces	IgAneg	Sorted	Week3MAL	Young	Plate1
1-0M3-fAp	R1	Week3	MAL	feces	IgApos	Sorted	Week3MAL	Young	Plate1
1-0M3-fpr	R1	Week3	MAL	feces	Pre	Presort	Week3MAL	Young	Plate1
1-0M4-fA	R1	Week3	MAL	feces	IgAneg	Sorted	Week3MAL	Young	Plate1
1-0M4-fAp	R1	Week3	MAL	feces	IgApos	Sorted	Week3MAL	Young	Plate1
1-0M4-fpr	R1	Week3	MAL	feces	Pre	Presort	Week3MAL	Young	Plate1
1-2C1-fA	R1	Week5	CON	feces	IgAneg	Sorted	Week5CON	Old	Plate1
1-2C1-fAp	R1	Week5	CON	feces	IgApos	Sorted	Week5CON	Old	Plate1
1-2C1-fpr	R1	Week5	CON	feces	Pre	Presort	Week5CON	Old	Plate1
1-2C2-fA	R1	Week5	CON	feces	IgAneg	Sorted	Week5CON	Old	Plate1
1-2C2-fAp	R1	Week5	CON	feces	IgApos	Sorted	Week5CON	Old	Plate1
1-2C2-fpr	R1	Week5	CON	feces	Pre	Presort	Week5CON	Old	Plate1
1-2C3-fA	R1	Week5	CON	feces	IgAneg	Sorted	Week5CON	Old	Plate1
1-2C3-fAp	R1	Week5	CON	feces	IgApos	Sorted	Week5CON	Old	Plate1
1-2C3-fpr	R1	Week5	CON	feces	Pre	Presort	Week5CON	Old	Plate1
1-2C4-fA	R1	Week5	CON	feces	IgAneg	Sorted	Week5CON	Old	Plate1
1-2C4-fAp	R1	Week5	CON	feces	IgApos	Sorted	Week5CON	Old	Plate1
1-2C4-fpr	R1	Week5	CON	feces	Pre	Presort	Week5CON	Old	Plate1
1-2M1-fA	R1	Week5	MAL	feces	IgAneg	Sorted	Week5MAL	Old	Plate1
1-2M1-fAp	R1	Week5	MAL	feces	IgApos	Sorted	Week5MAL	Old	Plate1
1-2M1-fpr	R1	Week5	MAL	feces	Pre	Presort	Week5MAL	Old	Plate1
1-2M2-fA	R1	Week5	MAL	feces	IgAneg	Sorted	Week5MAL	Old	Plate1
1-2M2-fAp	R1	Week5	MAL	feces	IgApos	Sorted	Week5MAL	Old	Plate1
1-2M2-fpr	R1	Week5	MAL	feces	Pre	Presort	Week5MAL	Old	Plate1
1-2M3-fA	R1	Week5	MAL	feces	IgAneg	Sorted	Week5MAL	Old	Plate1
1-2M3-fAp	R1	Week5	MAL	feces	IgApos	Sorted	Week5MAL	Old	Plate1
1-2M3-fpr	R1	Week5	MAL	feces	Pre	Presort	Week5MAL	Old	Plate1
1-4C1-fA	R1	Week7	CON	feces	IgAneg	Sorted	Week7CON	Old	Plate2
1-4C1-fAp	R1	Week7	CON	feces	IgApos	Sorted	Week7CON	Old	Plate2
1-4C1-fpr	R1	Week7	CON	feces	Pre	Presort	Week7CON	Old	Plate2
1-4C1-jA	R1	Week7	CON	jej	IgAneg	Sorted	Week7CON	Old	Plate2
1-4C1-jAp	R1	Week7	CON	jej	IgApos	Sorted	Week7CON	Old	Plate2
1-4C1-jpr	R1	Week7	CON	jej	Pre	Presort	Week7CON	Old	Plate2
1-4C2-fA	R1	Week7	CON	feces	IgAneg	Sorted	Week7CON	Old	Plate2
1-4C2-fAp	R1	Week7	CON	feces	IgApos	Sorted	Week7CON	Old	Plate2
1-4C2-fpr	R1	Week7	CON	feces	Pre	Presort	Week7CON	Old	Plate2
1-4C2-jA	R1	Week7	CON	jej	IgAneg	Sorted	Week7CON	Old	Plate2
1-4C2-jAp	R1	Week7	CON	jej	IgApos	Sorted	Week7CON	Old	Plate2
1-4C2-jpr	R1	Week7	CON	jej	Pre	Presort	Week7CON	Old	Plate2
